finding_id,detected_at,severity,category,source_log,summary,detail,status,remediated_at,remediation_action,verified_at,commit_hash
c05837411628,2026-06-07T23:40:38-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:10:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:10:02-04:00,b747f7310a240fe973124dd89f2a9b942161699b fix(supp): Context over
5be3a6e50568,2026-06-07T23:40:38-04:00,info,ollama_unreachable,openclaw-gateway,Ollama 127.0.0.1:11434 no alcanzable,Vision local fallo; remoto LiteLLM puede seguir OK,open,,,,
eed2c874fc48,2026-06-07T23:40:38-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-08T20:40:35-04:00,IDENTITY.md 443 -> 400 chars (backup IDENTITY.md.bak-supp-20260608-204035),2026-06-08T20:40:35-04:00,
298177d8efc3,2026-06-07T23:50:02-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:10:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:10:02-04:00,74581ce96e49d557e744b005806b463cffb2e107 fix(supp): Context over
4010ea974d1f,2026-06-07T23:55:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:10:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:10:02-04:00,ebaf9d329772cf106d4ae99dfd3c0a1f4047243f fix(supp): Context over
a4840505cb08,2026-06-08T00:00:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:15:01-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:15:01-04:00,c5dbeac3ba7e94e4e5996288d1baef95f5cccf76 fix(supp): Context over
77deda2ce1ef,2026-06-08T04:35:01-04:00,warning,whatsapp_pending,openclaw.sqlite,Cola WhatsApp pending: 1 mensaje(s),inbound.v1.pending en plugin_state_entries,remediated,2026-06-08T05:15:01-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:15:01-04:00,db508b3e4fac799665ed1da38a2ea8bb6dd277ad fix(supp): Cola WhatsAp
16c0e7ed8eea,2026-06-08T04:35:01-04:00,critical,session_stuck,sessions.json,agent:fin:main en estado running,sessionId=fa271f1f-35c2-47bd-b,remediated,2026-06-08T05:15:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:15:02-04:00,aa24ce18255d211dac2408150c1c227d1c2cef8c fix(supp): agent:fin:ma
37938fdedcae,2026-06-08T05:30:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:30:01-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:30:01-04:00,9ce4e2d0fdb5ce8e138f4423475cac564c04f506 fix(supp): Context over
c8c26653a445,2026-06-08T05:35:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T20:35:12-04:00,"pending deleted: 0; failed fin: 0; sessions: agent:fin:main;  Container openclaw-openclaw-gateway-1 Restarting 
 Container openclaw-openclaw-gateway-1 Started 
 | gateway healthy tras espera",2026-06-08T20:35:12-04:00,b7d6679355fcae5fc6c090166693cea6e32c8d70 fix(supp): Context over
